LHOLDN,VCEL,45
VRBMHQ,DWAQ,329
YSBOGE,JBLU,48
QBEDRN,HPS,165
ACGBKD,AMH^A,690
LIAOMC,EEP,501
VYTNXX,LYG,636
PIHVSH,SVVC,207
QYGJPA,FN,748
YJVDPZ,HT^C,173
OGUBEK,CDK,360
ZTONRQ,BCC,583
IGKADC,QGEN,70
TDLTMF,CHSCN,430
QYGJPA,EEP,628
ZTONRQ,VRNA,659
VYTNXX,KHC,807
LIAOMC,MELR,557
MVUPRO,SQNS,622
EABJZG,YNDX,357
TDLTMF,LYG,920
MHNFAB,GSM,462
PIHVSH,PXD,982
JEUSOS,DRAM,760
GYTOGA,ORBK,693
IKKJOF,AOI,643
WPZICL,PLUG,293
XWMGXB,SKYS,171
BLGMAH,DE,247
ZDWRPA,AXR,300
EABJZG,ORBK,662
ZVQDCZ,FOSL,416
QJGAKT,CETX,223
QHSQKX,PLUG,21
YSBOGE,HPS,42
LIAOMC,EXTR,120
YSBOGE,AOI,8
VRBMHQ,REX,772
ZZEOQO,CNP,478
ZVQDCZ,QVCB,205
FLKQSZ,GSM,686
ARHVMF,FBM,367
XWMGXB,KWEB,3
RRSDOR,AOI,112
WPZICL,CHN,737
ZDWRPA,ELU,67
ACGBKD,GNUS,208
GYTOGA,BUD,542
QBEDRN,EEP,208
KLDCOS,CETX,704
TDLTMF,FCNCA,882
SKAOKL,CTR,23
WLQWRR,ROLL,858
HSIWOY,FBSS,823
ACGBKD,FBSS,435
NPNFJT,RIG,959
LHOLDN,AOI,765
GIXUUX,SNH,702
GIXUUX,FN,798
IKKJOF,BHACR,138
EABJZG,BUD,37
MHNFAB,FOSL,955
LDQVTE,QTEC,138
WLQWRR,MCC,27
LVDPQX,QVCB,55
YJVDPZ,SQNS,328
GIXUUX,HIG.WS,290
LVDPQX,MRC,480
LIAOMC,EXTR,743
IGKADC,AOI,618
FLKQSZ,SPB           ,219
LHOLDN,NTG,343
VYTNXX,FN,590
WPZICL,PEY,663
DXASHD,ROCK,977
GYTOGA,QTEC,617
FIACMW,FCNCA,848
ZTONRQ,JBLU,478
YJVDPZ,NTG,444
ZVQDCZ,REX,280
SYFXRT,AXR,714
ACGBKD,GSM,934
GIXUUX,MTBCP,31
FLKQSZ,ADM,390
NAYAWW,INDB,470
YSBOGE,PRMW,335
ZVQDCZ,YNDX,469
GIXUUX,HPS,941
UYCBUG,KHC,975
QJGAKT,TCCO,597
VKUSOB,SNHNL,719
DXASHD,KHC,813
ZTONRQ,PFIN,478
LVDPQX,KNOP,191
KXJHJA,EXG,963
KXJHJA,FCNCA,854
VRBMHQ,VCEL,183
GYTOGA,VRNA,835
VYTNXX,FMO,986
VRBMHQ,KHC,78
LIAOMC,FCNCA,26
ZVQDCZ,HT^C,37
IKKJOF,CDK,122
GIXUUX,ADM,458
ZDWRPA,ELU,773
ZTZDVB,TNP,996
LIAOMC,TCCO,250
ZVQDCZ,QVCB,207
WLQWRR,TROV,251
YSBOGE,POST,26
XWMGXB,KHC,258
ZDWRPA,WSTG,373
ARHVMF,INDB,555
IGKADC,RP,267
OGUBEK,NTG,317
ZTZDVB,DRAM,374
LIAOMC,MTBCP,796
MHNFAB,ERF,177
LHOLDN,CNP,494
YJVDPZ,JBLU,775
PIHVSH,TNP,779
LVDPQX,VRNA,394
LIAOMC,KWEB,613
FLKQSZ,POST,369
QYGJPA,WSTG,125
RRSDOR,GNUS,445
LIAOMC,DE,33
ZVQDCZ,GSM,933
ACGBKD,PEY,497
EABJZG,SVVC,337
FIACMW,SHLX,729
VRBMHQ,FBNK,955
MHNFAB,PDBC,708
BLGMAH,ESPR,802
MHNFAB,CHD,925
PSPSYZ,MELR,103
ZTZDVB,POST,553
WLQWRR,INDB,563
VKUSOB,TROV,598
QYGJPA,DRAM,114
YJVDPZ,WNEB,10
TDLTMF,QTEC,970
KXJHJA,MCC,694
QBEDRN,SKYS,556
JEUSOS,WPZ,214
KLDCOS,MRC,85
QHSQKX,FBSS,527
FIACMW,PLUG,312
LVDPQX,FMO,897
VYTNXX,ESPR,581
FLKQSZ,GSM,742
BLGMAH,CTWS,426
NAYAWW,GNUS,328
VRBMHQ,KWEB,467
VYTNXX,SHO^F,655
XWMGXB,CJ,928
YJVDPZ,CNP,489
WLQWRR,QVCB,821
VKUSOB,QGEN,956
WISJIT,SKYS,484
VKUSOB,CXRX,152
LVDPQX,ELU,753
SKAOKL,RP,400
FLKQSZ,AGM.A,956
GYTOGA,POST,732
QHSQKX,PRMW,77
YJVDPZ,CTWS,531
JEUSOS,JBLU,661
ZTZDVB,FUL,414
UYCBUG,INDB,675
QBEDRN,ELU,854
FIACMW,GNUS,922
LDQVTE,WPZ,933
MHNFAB,SVVC,718
XWMGXB,FCAP,612
BLGMAH,FCAP,364
DXASHD,NTG,14
BLGMAH,SNHNL,581
MHNFAB,PXD,138
VKUSOB,DRAM,725
ACGBKD,CHN,320
YSBOGE,QVCB,883
SKAOKL,AOI,2
ZVQDCZ,FBSS,191
LHOLDN,PBHC,752
WISJIT,PEY,191
GYTOGA,PXD,210
KXJHJA,IRM,766
LHOLDN,CWT,220
FIACMW,AXR,87
ZDWRPA,FCNCA,848
ZTZDVB,CHN,626
OGUBEK,EEP,839
OILRQM,CRR,726
GYTOGA,QVCB,703
PSPSYZ,VCEL,297
VYTNXX,CXRX,813
YSBOGE,SHLX,529
EABJZG,KNOP,909
VYTNXX,INFI,730
IGKADC,DE,541
HSIWOY,CHN,915
KXJHJA,GNUS,936
OILRQM,BCC,384
LVDPQX,CDK,536
QHSQKX,EXTR,202
ZVQDCZ,RTK,730
VKUSOB,SQNS,608
HSIWOY,ERF,204
ZDWRPA,FBNK,128
VYTNXX,ROLL,372
ZTONRQ,GSM,294
IKKJOF,PFIN,129
QHSQKX,TPVG,310
EABJZG,PRMW,824
WPZICL,CHN,658
KLDCOS,HIG.WS,78
QBEDRN,PEY,182
LDQVTE,QGEN,447
ACGBKD,ORBK,357
LDQVTE,SHO^F,980
VYTNXX,POST,40
FIACMW,RP,742
SKAOKL,SVVC,223
QYGJPA,FCAP,815
WPZICL,CTWS,398
OGUBEK,DE,864
FIACMW,DRAM,569
GIXUUX,TCCO,936
EABJZG,BCC,416
ACGBKD,ROCK,726
ZVQDCZ,CETX,280
VKUSOB,INDB,243
PSPSYZ,CTR,95
QJGAKT,ORBK,170
QBEDRN,RP,312
GYTOGA,ERF,947
LHOLDN,INFI,853
QHSQKX,FN,510
NPNFJT,LYG,228
ZVQDCZ,PLOW,46
ZTZDVB,PLOW,80
MVUPRO,COO,666
QJGAKT,FCAP,544
FLKQSZ,PEY,991
GIXUUX,SHO^F,12
DXASHD,AMH^A,698
GYTOGA,COO,678
YSBOGE,ROLL,274
JEUSOS,LYG,597
IGKADC,GNUS,489
MVUPRO,GSM,746
EABJZG,QGEN,507
VRBMHQ,SKYS,736
BLGMAH,CNP,82
WPZICL,CDZI,382
QJGAKT,SPB           ,180
NAYAWW,PRTK,852
WLQWRR,PEY,988
OGUBEK,EXG,722
EABJZG,INFI,176
SKAOKL,REX,177
WPZICL,PEY,200
WLQWRR,FBSS,71
UYCBUG,YNDX,747
MHNFAB,DWAQ,511
NPNFJT,AXR,386
SYFXRT,BCC,59
UYCBUG,KHC,257
LDQVTE,LYG,707
IGKADC,CHD,398
MVUPRO,VCEL,58
JEUSOS,HT^C,415
OILRQM,ORBK,496
YSBOGE,HPS,43
MHNFAB,SPB           ,725
WISJIT,FUL,847
FIACMW,CTWS,822
ACGBKD,EEP,705
YSBOGE,FBSS,870
OGUBEK,FCNCA,924
JEUSOS,CXRX,976
LVDPQX,WPZ,591
ARHVMF,WNEB,756
UYCBUG,FCNCA,371
MVUPRO,FBNK,75
WLQWRR,ESPR,827
QHSQKX,CHSCN,97
HSIWOY,SPB           ,909
KLDCOS,SVVC,742
TDLTMF,COO,583
EABJZG,BHACR,483
QYGJPA,FBNK,326
RRSDOR,BUD,2
IGKADC,FBSS,672
KXJHJA,FMO,852
NPNFJT,SNH,872
LHOLDN,SNH,9
DXASHD,ESPR,312
LDQVTE,TCCO,74
